,jockey,season,pct_1st_last_j,pct_2nd_last_j,pct_3rd_last_j,pct_4th_last_j
0,A Atzeni,2013/2014,0.0,0.0,0.0,0.0
1,A Atzeni,2014/2015,0.0,0.0,0.0,0.0
2,A Atzeni,2017/2018,3.8,3.8,3.8,7.59
3,A Badel,2016/2017,0.0,0.0,0.0,0.0
4,A Badel,2017/2018,5.98,6.84,6.84,10.26
5,A Badel,2018/2019,6.83,7.8,9.27,7.8
6,A Badel,2019/2020,6.17,11.11,5.56,8.64
7,A Badel,2020/2021,10.28,9.09,8.3,9.09
8,A Delpech,2013/2014,0.0,0.0,0.0,0.0
9,A Domeyer,2018/2019,0.0,0.0,0.0,0.0
10,A Domeyer,2019/2020,11.21,6.9,10.34,14.66
11,A Hamelin,2019/2020,0.0,0.0,0.0,0.0
12,A Hamelin,2020/2021,7.49,7.49,7.05,10.57
13,A Marcus,2013/2014,0.0,0.0,0.0,0.0
14,A Sanna,2016/2017,0.0,0.0,0.0,0.0
15,A Sanna,2017/2018,10.53,5.26,5.26,5.26
16,A Sanna,2018/2019,4.96,4.66,7.0,10.5
17,A Sanna,2019/2020,2.43,4.45,3.64,4.05
18,A Starke,2013/2014,0.0,0.0,0.0,0.0
19,A Suborics,2013/2014,0.0,0.0,0.0,0.0
20,A Suborics,2014/2015,3.08,5.73,8.37,7.49
21,A Suborics,2015/2016,4.17,6.39,5.83,6.11
22,A de Vries,2014/2015,0.0,0.0,0.0,0.0
23,B Avdulla,2019/2020,0.0,0.0,0.0,0.0
24,B Doyle,2013/2014,0.0,0.0,0.0,0.0
25,B Fayd'herbe,2014/2015,0.0,0.0,0.0,0.0
26,B Melham,2016/2017,0.0,0.0,0.0,0.0
27,B Prebble,2013/2014,0.0,0.0,0.0,0.0
28,B Prebble,2014/2015,7.23,7.48,7.23,9.48
29,B Prebble,2015/2016,10.0,12.29,11.67,9.58
30,B Prebble,2016/2017,10.2,9.54,8.68,9.54
31,B Prebble,2017/2018,7.77,10.92,10.44,10.19
32,B Shinn,2015/2016,0.0,0.0,0.0,0.0
33,B Shinn,2019/2020,0.0,0.0,0.0,0.0
34,B Shinn,2020/2021,3.39,9.71,8.58,7.67
35,B Vorster,2016/2017,0.0,0.0,0.0,0.0
36,C Brown,2015/2016,0.0,0.0,0.0,0.0
37,C Demuro,2017/2018,0.0,0.0,0.0,0.0
38,C F Wong,2015/2016,0.0,0.0,0.0,0.0
39,C Hayes,2015/2016,0.0,0.0,0.0,0.0
40,C K Tong,2013/2014,0.0,0.0,0.0,0.0
41,C K Tong,2014/2015,1.9,3.16,2.85,5.06
42,C K Tong,2015/2016,1.03,1.03,1.38,3.45
43,C Keane,2018/2019,0.0,0.0,0.0,0.0
44,C Keane,2019/2020,25.0,0.0,25.0,0.0
45,C L Chau,2019/2020,0.0,0.0,0.0,0.0
46,C L Chau,2020/2021,7.45,11.7,12.77,6.38
47,C Lemaire,2013/2014,0.0,0.0,0.0,0.0
48,C Lemaire,2018/2019,0.0,0.0,0.0,33.33
49,C Lemaire,2019/2020,0.0,12.5,12.5,0.0
50,C Murray,2016/2017,0.0,0.0,0.0,0.0
51,C Murray,2018/2019,4.04,1.01,5.05,13.13
52,C O'Donoghue,2013/2014,0.0,0.0,0.0,0.0
53,C Perkins,2013/2014,0.0,0.0,0.0,0.0
54,C Perkins,2016/2017,0.0,0.0,0.0,0.0
55,C Reith,2013/2014,0.0,0.0,0.0,0.0
56,C Reith,2014/2015,1.25,3.75,7.5,5.0
57,C Schofield,2015/2016,0.0,0.0,0.0,0.0
58,C Schofield,2016/2017,6.9,9.05,6.9,12.07
59,C Schofield,2017/2018,7.4,9.55,7.16,7.4
60,C Schofield,2018/2019,9.31,6.62,8.09,10.78
61,C Schofield,2019/2020,7.55,8.49,8.73,10.38
62,C Schofield,2020/2021,8.78,8.16,8.16,8.37
63,C Soumillon,2013/2014,0.0,0.0,0.0,0.0
64,C Soumillon,2014/2015,9.09,0.0,9.09,27.27
65,C Soumillon,2015/2016,8.33,0.0,8.33,8.33
66,C Soumillon,2016/2017,14.29,28.57,7.14,14.29
67,C Soumillon,2017/2018,0.0,0.0,40.0,0.0
68,C Soumillon,2019/2020,0.0,0.0,0.0,33.33
69,C Williams,2013/2014,0.0,0.0,0.0,0.0
70,C Williams,2014/2015,0.0,12.5,12.5,12.5
71,C Williams,2015/2016,12.5,0.0,18.75,0.0
72,C Williams,2016/2017,10.0,10.0,0.0,0.0
73,C Williams,2017/2018,12.0,14.0,14.0,6.0
74,C Williams,2018/2019,0.0,0.0,0.0,0.0
75,C Wong,2017/2018,0.0,0.0,0.0,0.0
76,C Wong,2018/2019,8.97,8.28,8.97,8.97
77,C Wong,2019/2020,10.88,7.65,9.71,4.71
78,C Wong,2020/2021,4.76,3.7,4.23,7.41
79,C Y Ho,2013/2014,0.0,0.0,0.0,0.0
80,C Y Ho,2014/2015,5.15,5.88,6.37,7.6
81,C Y Ho,2015/2016,6.3,4.96,5.92,8.21
82,C Y Ho,2016/2017,4.17,4.97,5.77,9.15
83,C Y Ho,2017/2018,3.79,4.42,7.58,6.95
84,C Y Ho,2018/2019,5.25,4.81,7.0,6.56
85,C Y Ho,2019/2020,9.35,9.86,11.05,11.56
86,C Y Ho,2020/2021,10.75,9.63,9.31,9.95
87,C Y Lui,2013/2014,0.0,0.0,0.0,0.0
88,C Y Lui,2014/2015,5.21,8.14,7.82,9.12
89,D Browne,2014/2015,0.0,0.0,0.0,0.0
90,D Browne,2015/2016,0.0,0.0,0.0,0.0
91,D Chong,2015/2016,0.0,0.0,0.0,0.0
92,D Lane,2014/2015,0.0,0.0,0.0,0.0
93,D Lane,2015/2016,3.31,1.99,7.28,4.64
94,D Lane,2016/2017,25.0,0.0,0.0,0.0
95,D Lane,2019/2020,7.41,11.11,0.0,0.0
96,D O'Brien,2016/2017,0.0,0.0,0.0,0.0
97,D Oliver,2013/2014,0.0,0.0,0.0,0.0
98,D Oliver,2015/2016,0.0,0.0,0.0,0.0
99,D Oliver,2017/2018,0.0,33.33,0.0,0.0
100,D Oliver,2018/2019,25.0,0.0,0.0,25.0
101,D Shibata,2013/2014,0.0,0.0,0.0,0.0
102,D Tudhope,2015/2016,0.0,0.0,0.0,0.0
103,D Whyte,2013/2014,0.0,0.0,0.0,0.0
104,D Whyte,2014/2015,15.66,12.1,10.32,11.03
105,D Whyte,2015/2016,12.37,10.2,12.21,11.87
106,D Whyte,2016/2017,6.92,10.77,9.62,9.04
107,D Whyte,2017/2018,8.97,7.88,7.0,10.5
108,D Whyte,2018/2019,7.02,9.27,8.77,8.77
109,E da Silva,2015/2016,0.0,0.0,0.0,0.0
110,F Geroux,2015/2016,0.0,0.0,0.0,0.0
111,F Geroux,2016/2017,0.0,0.0,0.0,0.0
112,F Prat,2017/2018,0.0,0.0,0.0,0.0
113,F-X Bertras,2017/2018,0.0,0.0,0.0,0.0
114,G Benoist,2015/2016,0.0,0.0,0.0,0.0
115,G Lee,2016/2017,0.0,0.0,0.0,0.0
116,G Lerena,2015/2016,0.0,0.0,0.0,0.0
117,G Lerena,2016/2017,3.29,3.29,11.18,7.24
118,G Mosse,2013/2014,0.0,0.0,0.0,0.0
119,G Mosse,2014/2015,8.6,12.19,10.04,7.89
120,G Mosse,2015/2016,11.08,7.19,9.28,8.68
121,G Mosse,2016/2017,6.19,9.28,9.97,8.25
122,G Mosse,2017/2018,2.78,8.33,11.11,5.56
123,G Mosse,2018/2019,0.0,0.0,13.79,3.45
124,G Schofield,2015/2016,0.0,0.0,0.0,0.0
125,G Schofield,2016/2017,9.09,18.18,9.09,9.09
126,G Schofield,2017/2018,0.0,0.0,0.0,0.0
127,G Stevens,2013/2014,0.0,0.0,0.0,0.0
128,G van Niekerk,2018/2019,0.0,0.0,0.0,0.0
129,G van Niekerk,2019/2020,7.35,9.48,9.48,7.11
130,H Bowman,2013/2014,0.0,0.0,0.0,0.0
131,H Bowman,2014/2015,9.35,10.07,10.79,12.23
132,H Bowman,2015/2016,4.55,4.55,36.36,4.55
133,H Bowman,2016/2017,13.16,7.89,10.53,2.63
134,H Bowman,2017/2018,16.28,9.3,16.28,9.3
135,H Bowman,2018/2019,0.0,18.75,18.75,12.5
136,H Bowman,2019/2020,7.5,5.0,5.0,20.0
137,H Lam,2014/2015,0.0,0.0,0.0,0.0
138,H Lam,2016/2017,0.0,0.0,0.0,0.0
139,H Lam,2018/2019,0.0,0.0,0.0,0.0
