,season,race_id,race,date,place,last_place,horse_id,horse_no,horse,jockey,trainer,actual_weight,last_actual_weight,declared_horse_weight,draw,last_lbw,last_running_position,win_odds,class,going,track,prize,location,distance_m,rest_day,finish_time_s,pct_1st_last_j,pct_2nd_last_j,pct_3rd_last_j,pct_4th_last_j,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
72269,2020/2021,306,1,2021-01-01,1,0.0,E162,8,MASTER FAY,J Moreira,C Fownes,126.0,0.0,1185.0,11,0.0,0.0,1.6,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,45.0,69.68,19.22,17.13,12.67,9.47,9.3,10.25,7.78,9.68
72270,2020/2021,306,1,2021-01-01,2,0.0,E170,10,TRAVEL GLORY,V Borges,C W Chang,126.0,0.0,1047.0,1,0.0,0.0,122.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,45.0,70.09,6.64,7.47,7.05,6.64,4.85,9.44,5.61,3.83
72271,2020/2021,306,1,2021-01-01,3,9.0,C005,14,BRILLIANT,K C Leung,C H Yip,118.0,123.0,1015.0,3,6.5,10.666666666666666,21.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,44.0,70.28999999999999,5.19,3.76,6.44,8.94,4.71,3.44,7.61,6.16
72272,2020/2021,306,1,2021-01-01,4,12.0,D451,6,JOYFUL WIN,T Piccone,P F Yiu,126.0,127.0,1130.0,2,6.5,7.0,72.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,48.0,70.31,8.89,6.67,13.33,5.56,14.02,9.0,9.21,9.21
72273,2020/2021,306,1,2021-01-01,5,3.0,C498,12,VIGOR CHAMP,Z Purton,K H Ting,121.0,119.0,998.0,13,0.5,9.0,6.7,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,26.0,70.34,20.82,14.31,14.16,7.93,8.5,4.85,6.07,8.74
72274,2020/2021,306,1,2021-01-01,6,7.0,B049,11,CHAMPION PRIDE,B Shinn,D E Ferraris,123.0,124.0,1307.0,7,2.75,7.666666666666667,35.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,16.0,70.53,3.39,9.71,8.58,7.67,4.92,6.56,8.43,6.56
72275,2020/2021,306,1,2021-01-01,7,0.0,E151,2,CHIRON,C Soumillon,D A Hayes,126.0,0.0,1152.0,5,0.0,0.0,9.6,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,45.0,70.56,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0
72276,2020/2021,306,1,2021-01-01,8,0.0,E042,5,GOLDEN BOLT,K Teetan,D J Whyte,126.0,0.0,1032.0,8,0.0,0.0,60.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,45.0,70.62,12.93,10.43,11.27,11.27,9.46,8.82,8.17,10.11
72277,2020/2021,306,1,2021-01-01,9,0.0,E187,3,FORTUNE CARRIER,A Badel,C S Shum,126.0,0.0,1145.0,10,0.0,0.0,12.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,45.0,70.63,10.28,9.09,8.3,9.09,9.49,10.34,5.49,8.23
72278,2020/2021,306,1,2021-01-01,10,0.0,D486,1,BRILLIANT CHINA,C Schofield,T P Yung,126.0,0.0,1059.0,12,0.0,0.0,36.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,45.0,70.74,8.78,8.16,8.16,8.37,5.57,6.26,6.26,5.57
72279,2020/2021,306,1,2021-01-01,11,0.0,C337,4,FULL SAILING,H T Mo,Y S Tsui,123.0,0.0,1157.0,6,0.0,0.0,202.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,45.0,70.84,3.43,5.14,3.43,3.43,5.53,7.87,7.37,6.2
72280,2020/2021,306,1,2021-01-01,12,0.0,E037,9,OH BRAVO,A Hamelin,W Y So,126.0,0.0,1173.0,4,0.0,0.0,25.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,45.0,70.85,7.49,7.49,7.05,10.57,7.31,6.6,7.78,7.78
72281,2020/2021,306,1,2021-01-01,13,0.0,E049,7,KRAYT'S GOLD,C Y Ho,F C Lor,126.0,0.0,1007.0,9,0.0,0.0,130.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,45.0,71.1,10.75,9.63,9.31,9.95,8.84,8.43,11.04,11.04
72282,2020/2021,306,1,2021-01-01,14,4.0,D033,13,HERO STAR,N Callan,K L Man,120.0,121.0,1114.0,14,5.25,4.333333333333333,12.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1200,75.0,71.42,5.42,8.33,8.33,12.08,7.56,10.73,8.05,8.05
72283,2020/2021,307,2,2021-01-01,1,11.0,B183,6,DIAMOND RHYME,C Y Ho,F C Lor,126.0,127.0,1068.0,1,11.25,5.0,3.0,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,26.0,82.6,10.75,9.63,9.31,9.95,8.84,8.43,11.04,11.04
72284,2020/2021,307,2,2021-01-01,2,2.0,C388,11,WINS ALL,K Teetan,W Y So,121.0,121.0,1116.0,9,0.33,5.333333333333333,4.9,Class 4,GOOD,"TURF - ""B+2"" Course",1000000,Sha Tin,1400,23.0,82.69,12.93,10.43,11.27,11.27,7.31,6.6,7.78,7.78
