season,race,horse_no,horse,jockey,trainer,class,track,location,actual_weight,draw,distance_m,win_odds,date
2020/2021,1,1,DEMONS ROCK,C L Chau,D J Hall,Class 5,ALL WEATHER TRACK,Sha Tin,133,2,1200,3.7,2020-11-04
2020/2021,1,2,VIVA COUNCIL,H T Mo,L Ho,Class 5,ALL WEATHER TRACK,Sha Tin,133,7,1200,9.5,2020-11-04
2020/2021,1,3,WELL DRAGON,T Piccone,W Y So,Class 5,ALL WEATHER TRACK,Sha Tin,133,9,1200,15,2020-11-04
2020/2021,1,4,ADONIS,A Badel,D J Whyte,Class 5,ALL WEATHER TRACK,Sha Tin,132,6,1200,9.4,2020-11-04
2020/2021,1,5,TAILOR MADE,Z Purton,C W Chang,Class 5,ALL WEATHER TRACK,Sha Tin,132,4,1200,6.8,2020-11-04
2020/2021,1,6,WHO'S HORSE,V Borges,A S Cruz,Class 5,ALL WEATHER TRACK,Sha Tin,129,10,1200,26,2020-11-04
2020/2021,1,7,EVER STRONG,C Y Ho,K L Man,Class 5,ALL WEATHER TRACK,Sha Tin,128,11,1200,15,2020-11-04
2020/2021,1,8,READY CONQUEROR,M F Poon,Y S Tsui,Class 5,ALL WEATHER TRACK,Sha Tin,128,5,1200,15,2020-11-04
2020/2021,1,9,SOCKET ELITE,B Shinn,C H Yip,Class 5,ALL WEATHER TRACK,Sha Tin,124,1,1200,55,2020-11-04
2020/2021,1,10,CORRE RAPIDO,K Teetan,R Gibson,Class 5,ALL WEATHER TRACK,Sha Tin,116,8,1200,5.6,2020-11-04
2020/2021,1,11,SPICY REALLY,M Chadwick,F C Lor,Class 5,ALL WEATHER TRACK,Sha Tin,115,3,1200,14,2020-11-04
2020/2021,1,12,FAIRY FLOSS,K C Leung,P O'Sullivan,Class 5,ALL WEATHER TRACK,Sha Tin,114,12,1200,10,2020-11-04
2020/2021,2,1,GO BALLISTIC,C L Chau,D E Ferraris,Class 5,ALL WEATHER TRACK,Sha Tin,133,14,1650,6.9,2020-11-04
2020/2021,2,2,DRAGON COMMANDER,N Callan,Y S Tsui,Class 5,ALL WEATHER TRACK,Sha Tin,132,12,1650,11,2020-11-04
2020/2021,2,3,BREAK RECORD,B Shinn,L Ho,Class 5,ALL WEATHER TRACK,Sha Tin,129,4,1650,86,2020-11-04
2020/2021,2,4,SMART THINKER,Z Purton,C H Yip,Class 5,ALL WEATHER TRACK,Sha Tin,129,8,1650,3.6,2020-11-04
2020/2021,2,5,SWEETLY BABY,C Y Ho,C Fownes,Class 5,ALL WEATHER TRACK,Sha Tin,129,1,1650,6.8,2020-11-04
2020/2021,2,6,SHINEALOT,K Teetan,P O'Sullivan,Class 5,ALL WEATHER TRACK,Sha Tin,127,6,1650,4.8,2020-11-04
2020/2021,2,7,JOYFUL CHEERS,A Badel,C S Shum,Class 5,ALL WEATHER TRACK,Sha Tin,126,13,1650,80,2020-11-04
2020/2021,2,8,SACRED TIMING,M F Poon,D A Hayes,Class 5,ALL WEATHER TRACK,Sha Tin,125,10,1650,42,2020-11-04
2020/2021,2,9,TURF BRILLIANT,T Piccone,W Y So,Class 5,ALL WEATHER TRACK,Sha Tin,125,5,1650,10,2020-11-04
2020/2021,2,10,JOY AVENUE,K C Leung,C H Yip,Class 5,ALL WEATHER TRACK,Sha Tin,121,3,1650,27,2020-11-04
2020/2021,2,11,CHARITYDREAM,M Chadwick,C W Chang,Class 5,ALL WEATHER TRACK,Sha Tin,119,11,1650,8.9,2020-11-04
2020/2021,2,12,THE JOY OF GIVING,V Borges,C W Chang,Class 5,ALL WEATHER TRACK,Sha Tin,119,9,1650,110,2020-11-04
2020/2021,2,13,PROUD SKY,H T Mo,L Ho,Class 5,ALL WEATHER TRACK,Sha Tin,113,7,1650,31,2020-11-04
2020/2021,2,14,FORTUNE BUDDY,M L Yeung,T P Yung,Class 5,ALL WEATHER TRACK,Sha Tin,113,2,1650,48,2020-11-04
2020/2021,3,1,BEAR SLAM,C L Chau,D E Ferraris,Class 3,ALL WEATHER TRACK,Sha Tin,133,6,1800,7.1,2020-11-04
2020/2021,3,2,RIGHT CHOICE,Z Purton,F C Lor,Class 3,ALL WEATHER TRACK,Sha Tin,133,7,1800,5.7,2020-11-04
2020/2021,3,3,NABOO STAR,B Shinn,C Fownes,Class 3,ALL WEATHER TRACK,Sha Tin,130,1,1800,7.7,2020-11-04
2020/2021,3,4,ELITE PATCH,M F Poon,K W Lui,Class 3,ALL WEATHER TRACK,Sha Tin,128,4,1800,4.5,2020-11-04
2020/2021,3,5,CLEAR CHOICE,C Y Ho,C S Shum,Class 3,ALL WEATHER TRACK,Sha Tin,126,5,1800,7.1,2020-11-04
