season,race,horse_no,horse,jockey,trainer,class,track,location,actual_weight,draw,distance_m,win_odds,date
2020/2021,1,1,BRANDING POWER,C Y Ho,K W Lui,Class 4,TURF,Sha Tin,129,5,"""C"" Cours",3.9,2021-01-10
2020/2021,1,2,ZONE D,J Moreira,J Size,Class 4,TURF,Sha Tin,129,12,"""C"" Cours",12,2021-01-10
2020/2021,1,3,FOREVER CITY,V Borges,P O'Sullivan,Class 4,TURF,Sha Tin,129,11,"""C"" Cours",13,2021-01-10
2020/2021,1,4,LUCKY FUN,Z Purton,C S Shum,Class 4,TURF,Sha Tin,129,4,"""C"" Cours",2.8,2021-01-10
2020/2021,1,5,MISTER ARM,H T Mo,Y S Tsui,Class 4,TURF,Sha Tin,129,9,"""C"" Cours",24,2021-01-10
2020/2021,1,6,SILVERY WARRIOR,N Callan,R Gibson,Class 4,TURF,Sha Tin,129,6,"""C"" Cours",29,2021-01-10
2020/2021,1,7,STRATHMARTINE,C Schofield,A T Millard,Class 4,TURF,Sha Tin,129,1,"""C"" Cours",13,2021-01-10
2020/2021,1,8,ON EXCEL STAR,K C Leung,C H Yip,Class 4,TURF,Sha Tin,128,7,"""C"" Cours",8.8,2021-01-10
2020/2021,1,9,SUNDAY BETTING,B Shinn,C Fownes,Class 4,TURF,Sha Tin,126,10,"""C"" Cours",108,2021-01-10
2020/2021,1,10,COMFORT LIFE,A Hamelin,K L Man,Class 4,TURF,Sha Tin,125,3,"""C"" Cours",11,2021-01-10
2020/2021,1,11,UNIVERSAL CROWN,C L Chau,D J Whyte,Class 4,TURF,Sha Tin,122,8,"""C"" Cours",18,2021-01-10
2020/2021,1,12,CRUCIATUS,H N Wong,C W Chang,Class 4,TURF,Sha Tin,118,2,"""C"" Cours",37,2021-01-10
2020/2021,2,1,WONDER EXPRESS,J Moreira,K H Ting,Class 5,TURF,Sha Tin,133,6,"""C"" Cours",3.0,2021-01-10
2020/2021,2,2,COPARTNER ERA,A Badel,W Y So,Class 5,TURF,Sha Tin,132,3,"""C"" Cours",7.3,2021-01-10
2020/2021,2,3,FRESH POWER,K Teetan,Y S Tsui,Class 5,TURF,Sha Tin,132,14,"""C"" Cours",31,2021-01-10
2020/2021,2,4,CITY LEGEND,C L Chau,T P Yung,Class 5,TURF,Sha Tin,131,8,"""C"" Cours",12,2021-01-10
2020/2021,2,5,CALIFORNIA LEGEND,C Soumillon,A S Cruz,Class 5,TURF,Sha Tin,130,11,"""C"" Cours",5.2,2021-01-10
2020/2021,2,6,FUN TIMES,C Schofield,A T Millard,Class 5,TURF,Sha Tin,129,7,"""C"" Cours",12,2021-01-10
2020/2021,2,7,VICTORIOUS LEADER,Z Purton,C H Yip,Class 5,TURF,Sha Tin,129,13,"""C"" Cours",8.1,2021-01-10
2020/2021,2,8,MONEYMORE,M L Yeung,D A Hayes,Class 5,TURF,Sha Tin,128,9,"""C"" Cours",10,2021-01-10
2020/2021,2,9,BREAK RECORD,H W Lai,L Ho,Class 5,TURF,Sha Tin,126,2,"""C"" Cours",53,2021-01-10
2020/2021,2,10,LITTLE GENERAL,M F Poon,C S Shum,Class 5,TURF,Sha Tin,124,5,"""C"" Cours",26,2021-01-10
2020/2021,2,11,EVER STRONG,C Y Ho,K L Man,Class 5,TURF,Sha Tin,122,4,"""C"" Cours",30,2021-01-10
2020/2021,2,12,GENERAL CASTLEDALE,N Callan,P O'Sullivan,Class 5,TURF,Sha Tin,122,10,"""C"" Cours",108,2021-01-10
2020/2021,2,13,TINKER BELLE,T Piccone,D E Ferraris,Class 5,TURF,Sha Tin,121,12,"""C"" Cours",140,2021-01-10
2020/2021,2,14,TARGET FINDER,H T Mo,C W Chang,Class 5,TURF,Sha Tin,113,1,"""C"" Cours",30,2021-01-10
2020/2021,3,1,JADE THEATRE,C L Chau,K L Man,Class 5,ALL WEATHER TRACK,Sha Tin,133,1,1200,6.1,2021-01-10
2020/2021,3,2,LUCKY TURBO,C Soumillon,A S Cruz,Class 5,ALL WEATHER TRACK,Sha Tin,132,12,1200,10,2021-01-10
2020/2021,3,3,GREAT SON,Z Purton,P O'Sullivan,Class 5,ALL WEATHER TRACK,Sha Tin,131,3,1200,12,2021-01-10
2020/2021,3,4,STRATHCLYDE,C Schofield,A T Millard,Class 5,ALL WEATHER TRACK,Sha Tin,131,2,1200,7.1,2021-01-10
2020/2021,3,5,TREASURE CHEST,N Callan,P F Yiu,Class 5,ALL WEATHER TRACK,Sha Tin,131,5,1200,2.8,2021-01-10
2020/2021,3,6,MOON PEAKS,H W Lai,Y S Tsui,Class 5,ALL WEATHER TRACK,Sha Tin,128,7,1200,16,2021-01-10
2020/2021,3,7,CHUNGHWA JINGSHEN,K Teetan,L Ho,Class 5,ALL WEATHER TRACK,Sha Tin,127,10,1200,15,2021-01-10
2020/2021,3,8,PLANET FLYER,C Wong,W Y So,Class 5,ALL WEATHER TRACK,Sha Tin,126,9,1200,75,2021-01-10
2020/2021,3,9,SUPREME PATROL,B Shinn,D E Ferraris,Class 5,ALL WEATHER TRACK,Sha Tin,121,6,1200,14,2021-01-10
2020/2021,3,10,HAPPY WINNER,H N Wong,C W Chang,Class 5,ALL WEATHER TRACK,Sha Tin,119,4,1200,16,2021-01-10
2020/2021,3,11,CORRE RAPIDO,A Badel,R Gibson,Class 5,ALL WEATHER TRACK,Sha Tin,113,8,1200,11,2021-01-10
2020/2021,3,12,DASHING GRACE,H T Mo,T P Yung,Class 5,ALL WEATHER TRACK,Sha Tin,113,11,1200,117,2021-01-10
2020/2021,4,1,JOYFUL HEART,C Soumillon,F C Lor,Class 4,TURF,Sha Tin,133,9,"""C"" Cours",5.3,2021-01-10
2020/2021,4,2,GOLDEN FOUR,C L Chau,C W Chang,Class 4,TURF,Sha Tin,130,14,"""C"" Cours",8.0,2021-01-10
2020/2021,4,3,SPEED FAY FAY,C Schofield,T P Yung,Class 4,TURF,Sha Tin,128,6,"""C"" Cours",5.9,2021-01-10
2020/2021,4,4,SUPERB DADDY,N Callan,D E Ferraris,Class 4,TURF,Sha Tin,128,5,"""C"" Cours",7.7,2021-01-10
2020/2021,4,5,LIGHT OF WANSHI,V Borges,W Y So,Class 4,TURF,Sha Tin,126,8,"""C"" Cours",188,2021-01-10
2020/2021,4,6,MULTIPLE STAR,H N Wong,C H Yip,Class 4,TURF,Sha Tin,126,1,"""C"" Cours",114,2021-01-10
2020/2021,4,7,QUICK REPLY,B Shinn,D A Hayes,Class 4,TURF,Sha Tin,126,10,"""C"" Cours",107,2021-01-10
