place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,3.0,GOOD RUNNERS WAY(C127),Z Purton,C S Shum,131,1072,6,-,"3                                                            

3                                                            

2                                                            

1",1:35.48,2.2,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
2,4.0,REGENCY GEM(C035),J Moreira,W Y So,129,1179,7,SH,"9                                                            

8                                                            

8                                                            

2",1:35.50,4.9,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
3,7.0,PROUD SKY(V406),K Teetan,L Ho,121,1053,4,1/2,"5                                                            

4                                                            

3                                                            

3",1:35.57,18,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
4,2.0,LE PANACHE(V369),A Sanna,D J Whyte,132,1076,3,1-1/4,"4                                                            

6                                                            

6                                                            

4",1:35.68,5.7,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
5,1.0,GOLD VELVET(V400),L Hewitson,A T Millard,133,1155,8,1-1/2,"8                                                            

7                                                            

7                                                            

5",1:35.71,7,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
6,9.0,ROMANTIC JOURNEY(B107),H T Mo,C W Chang,112,1085,1,1-3/4,"1                                                            

1                                                            

1                                                            

6",1:35.77,19,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
7,5.0,WICKER(B425),N Callan,R Gibson,126,1118,9,2,"7                                                            

9                                                            

9                                                            

7",1:35.79,50,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
8,6.0,WHAMPOA STAR(B146),M F Poon,Y S Tsui,119,1139,5,7-1/2,"2                                                            

2                                                            

4                                                            

8",1:36.67,14,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
9,8.0,YOUNG GLORY(B292),M Chadwick,D E Ferraris,120,1207,2,10-1/2,"6                                                            

5                                                            

5                                                            

9",1:37.15,21,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
1,13.0,ADONIS(A324),R Bayliss,D J Whyte,122,1062,12,-,"10                                                            

9                                                            

1",1:09.99,6.7,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
