place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,1,ELEGANT FRAMES(N240),J Moreira,T K Ng,133,1176,3,-,"7                                                            

3                                                            

1",1:09.90,6.5,1(666),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/06/01
2,3,JUST MISTERE(P012),Z Purton,Y S Tsui,132,1146,2,3/4,"2                                                            

2                                                            

2",1:10.02,3.2,1(666),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/06/01
3,9,ARCHER'S BOW(P055),H Bowman,T P Yung,124,1147,14,3/4,"11                                                            

6                                                            

3",1:10.04,5.2,1(666),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/06/01
4,4,BORNFREE(P285),A Suborics,Y S Tsui,131,1223,12,2-3/4,"12                                                            

9                                                            

4",1:10.36,86,1(666),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/06/01
5,13,TELECOM CHIEF(P025),C Y Lui,D E Ferraris,107,1037,4,4-1/2,"8                                                            

7                                                            

5",1:10.62,18,1(666),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/06/01
6,2,KING ON EARTH(L251),H W Lai,A Lee,131,1098,6,7-1/2,"10                                                            

11                                                            

6",1:11.12,12,1(666),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/06/01
7,8,TIME WINNER(P013),C K Tong,W Y So,127,1152,8,7-3/4,"13                                                            

12                                                            

7",1:11.13,12,1(666),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/06/01
8,6,SUNSHINE BOY(J281),K C Ng,Y S Tsui,125,1018,1,8,"14                                                            

13                                                            

8",1:11.17,53,1(666),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/06/01
9,11,YOUNG SUPREME(L074),C Reith,A Lee,118,1134,9,8,"1                                                            

1                                                            

9",1:11.20,80,1(666),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/06/01
10,10,MAN AND MING(P026),T Clark,A Lee,118,1080,5,9,"4                                                            

4                                                            

10",1:11.35,33,1(666),Class 5 - 1200M - (40-15),GOOD TO FIRM,"TURF - ""A+3"" Course","HK$ 550,000",Sha Tin,2014/06/01
