,trainer,season,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
0,A Bull,2016/2017,0.0,0.0,0.0,0.0
1,A Couetil,2017/2018,0.0,0.0,0.0,0.0
2,A Fabre,2016/2017,0.0,0.0,0.0,0.0
3,A Fabre,2017/2018,0.0,0.0,0.0,0.0
4,A Fabre,2018/2019,0.0,100.0,0.0,0.0
5,A Freedman,2018/2019,0.0,0.0,0.0,0.0
6,A Lee,2016/2017,0.0,0.0,0.0,0.0
7,A Lee,2017/2018,4.36,6.88,5.96,5.5
8,A M Balding,2017/2018,0.0,0.0,0.0,0.0
9,A M Balding,2018/2019,0.0,0.0,0.0,0.0
10,A P O'Brien,2016/2017,0.0,0.0,0.0,0.0
11,A P O'Brien,2017/2018,0.0,50.0,0.0,0.0
12,A P O'Brien,2018/2019,20.0,0.0,0.0,0.0
13,A P O'Brien,2019/2020,0.0,0.0,0.0,0.0
14,A S Cruz,2016/2017,0.0,0.0,0.0,0.0
15,A S Cruz,2017/2018,8.42,12.46,7.74,8.92
16,A S Cruz,2018/2019,9.09,9.26,8.58,12.52
17,A S Cruz,2019/2020,9.81,9.28,9.63,8.58
18,A S Cruz,2020/2021,10.87,9.2,10.37,7.36
19,A T Millard,2016/2017,0.0,0.0,0.0,0.0
20,A T Millard,2017/2018,8.16,7.26,7.26,9.3
21,A T Millard,2018/2019,11.72,8.28,10.34,10.0
22,A T Millard,2019/2020,8.99,7.9,11.99,8.45
23,A T Millard,2020/2021,8.7,8.12,9.57,6.67
24,Barande-Barbe,2016/2017,0.0,0.0,0.0,0.0
25,Barande-Barbe,2017/2018,0.0,0.0,0.0,0.0
26,C Appleby,2017/2018,0.0,0.0,0.0,0.0
27,C Fellowes,2018/2019,0.0,0.0,0.0,0.0
28,C Fellowes,2019/2020,0.0,0.0,0.0,0.0
29,C Fownes,2016/2017,0.0,0.0,0.0,0.0
30,C Fownes,2017/2018,10.76,6.17,7.76,7.76
31,C Fownes,2018/2019,7.47,7.85,7.66,9.0
32,C Fownes,2019/2020,8.16,11.22,9.39,8.57
33,C Fownes,2020/2021,9.3,10.25,7.78,9.68
34,C H Yip,2016/2017,0.0,0.0,0.0,0.0
35,C H Yip,2017/2018,6.87,5.28,7.04,6.34
36,C H Yip,2018/2019,7.49,7.49,8.05,7.68
37,C H Yip,2019/2020,7.55,4.86,7.37,8.63
38,C H Yip,2020/2021,4.71,3.44,7.61,6.16
39,C S Shum,2016/2017,0.0,0.0,0.0,0.0
40,C S Shum,2017/2018,8.89,6.67,10.19,7.59
41,C S Shum,2018/2019,10.49,8.44,8.64,7.2
42,C S Shum,2019/2020,10.4,9.55,8.49,9.34
43,C S Shum,2020/2021,9.49,10.34,5.49,8.23
44,C W Chang,2016/2017,0.0,0.0,0.0,0.0
45,C W Chang,2017/2018,4.19,6.54,5.76,8.12
46,C W Chang,2018/2019,4.51,4.51,9.3,5.92
47,C W Chang,2019/2020,4.61,7.59,5.42,8.13
48,C W Chang,2020/2021,4.85,9.44,5.61,3.83
49,C Waller,2018/2019,0.0,0.0,0.0,0.0
50,D A Hayes,2020/2021,0.0,0.0,0.0,0.0
51,D Cruz,2016/2017,0.0,0.0,0.0,0.0
52,D Cruz,2017/2018,2.66,6.31,8.31,5.32
53,D E Ferraris,2016/2017,0.0,0.0,0.0,0.0
54,D E Ferraris,2017/2018,7.22,8.53,10.28,9.19
55,D E Ferraris,2018/2019,5.53,8.2,8.4,9.63
56,D E Ferraris,2019/2020,4.21,4.21,8.42,6.21
57,D E Ferraris,2020/2021,4.92,6.56,8.43,6.56
58,D Guillemin,2017/2018,0.0,0.0,0.0,0.0
