,trainer,season,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
0,A Bull,2016/2017,0.0,0.0,0.0,0.0
1,A Couetil,2017/2018,0.0,0.0,0.0,0.0
2,A Fabre,2014/2015,0.0,0.0,0.0,0.0
3,A Fabre,2015/2016,100.0,0.0,0.0,0.0
4,A Fabre,2016/2017,0.0,50.0,0.0,50.0
5,A Fabre,2017/2018,0.0,0.0,0.0,0.0
6,A Fabre,2018/2019,0.0,100.0,0.0,0.0
7,A Freedman,2018/2019,0.0,0.0,0.0,0.0
8,A Lee,2013/2014,0.0,0.0,0.0,0.0
9,A Lee,2014/2015,4.1,4.78,5.8,6.48
10,A Lee,2015/2016,7.19,7.19,6.21,5.56
11,A Lee,2016/2017,5.48,6.19,6.67,8.81
12,A Lee,2017/2018,4.36,6.88,5.96,5.5
13,A M Balding,2013/2014,0.0,0.0,0.0,0.0
14,A M Balding,2017/2018,0.0,0.0,0.0,0.0
15,A M Balding,2018/2019,0.0,0.0,0.0,0.0
16,A P O'Brien,2015/2016,0.0,0.0,0.0,0.0
17,A P O'Brien,2016/2017,50.0,0.0,0.0,0.0
18,A P O'Brien,2017/2018,0.0,50.0,0.0,0.0
19,A P O'Brien,2018/2019,20.0,0.0,0.0,0.0
20,A P O'Brien,2019/2020,0.0,0.0,0.0,0.0
21,A S Cruz,2013/2014,0.0,0.0,0.0,0.0
22,A S Cruz,2014/2015,8.86,7.36,7.69,8.03
23,A S Cruz,2015/2016,7.99,9.59,6.22,7.28
24,A S Cruz,2016/2017,9.03,8.66,9.93,8.48
25,A S Cruz,2017/2018,8.42,12.46,7.74,8.92
26,A S Cruz,2018/2019,9.09,9.26,8.58,12.52
27,A S Cruz,2019/2020,9.81,9.28,9.63,8.58
28,A S Cruz,2020/2021,10.87,9.2,10.37,7.36
29,A Schutz,2013/2014,0.0,0.0,0.0,0.0
30,A Schutz,2014/2015,6.05,4.84,4.84,8.87
31,A Schutz,2015/2016,4.72,6.87,10.3,6.44
32,A T Millard,2013/2014,0.0,0.0,0.0,0.0
33,A T Millard,2014/2015,9.82,11.37,8.53,9.3
34,A T Millard,2015/2016,7.06,10.25,10.02,8.88
35,A T Millard,2016/2017,8.28,7.61,9.84,8.05
36,A T Millard,2017/2018,8.16,7.26,7.26,9.3
37,A T Millard,2018/2019,11.72,8.28,10.34,10.0
38,A T Millard,2019/2020,8.99,7.9,11.99,8.45
39,A T Millard,2020/2021,8.7,8.12,9.57,6.67
40,A Wohler,2013/2014,0.0,0.0,0.0,0.0
41,Barande-Barbe,2013/2014,0.0,0.0,0.0,0.0
42,Barande-Barbe,2014/2015,0.0,0.0,100.0,0.0
43,Barande-Barbe,2015/2016,0.0,0.0,0.0,100.0
44,Barande-Barbe,2016/2017,0.0,0.0,0.0,0.0
45,Barande-Barbe,2017/2018,0.0,0.0,0.0,0.0
46,C Appleby,2015/2016,0.0,0.0,0.0,0.0
47,C Appleby,2017/2018,0.0,0.0,0.0,0.0
48,C Fellowes,2018/2019,0.0,0.0,0.0,0.0
49,C Fellowes,2019/2020,0.0,0.0,0.0,0.0
50,C Fownes,2013/2014,0.0,0.0,0.0,0.0
51,C Fownes,2014/2015,10.54,10.19,8.98,8.98
52,C Fownes,2015/2016,10.25,6.71,6.71,8.13
53,C Fownes,2016/2017,7.52,7.71,8.65,7.52
54,C Fownes,2017/2018,10.76,6.17,7.76,7.76
55,C Fownes,2018/2019,7.47,7.85,7.66,9.0
56,C Fownes,2019/2020,8.16,11.22,9.39,8.57
57,C Fownes,2020/2021,9.3,10.25,7.78,9.68
58,C H Yip,2013/2014,0.0,0.0,0.0,0.0
